ID,GeneratedTokens,TIMESTAMP,Deadline,Score,Priority,Switching Cost
1,4,2024-05-07T06:37:28.982284,2024-05-07T06:37:30.017284,3.8647342995169085,0.9661835748792271,2.0
2,9,2024-05-07T06:37:28.985284,2024-05-07T06:37:34.658284,1.5864621893178212,0.17627357659086904,4.5
3,45,2024-05-07T06:37:28.986284,2024-05-07T06:37:34.020284,8.939213349225268,0.1986491855383393,22.5
4,25,2024-05-07T06:37:29.003284,2024-05-07T06:37:42.772284,1.815672888372431,0.07262691553489724,12.5
5,25,2024-05-07T06:37:29.022284,2024-05-07T06:37:33.682284,5.364806866952789,0.2145922746781116,12.5
6,2,2024-05-07T06:37:29.149284,2024-05-07T06:37:30.240284,1.8331805682859763,0.9165902841429882,1.0
7,4,2024-05-07T06:37:29.155284,2024-05-07T06:37:31.711284,1.5649452269170578,0.39123630672926446,2.0
8,69,2024-05-07T06:37:29.178284,2024-05-07T06:37:33.490284,16.001855287569573,0.23191094619666047,34.5
9,42,2024-05-07T06:37:29.225284,2024-05-07T06:37:33.215284,10.526315789473683,0.2506265664160401,21.0
10,87,2024-05-07T06:37:29.228284,2024-05-07T06:37:31.173284,44.73007712082262,0.5141388174807198,43.5
11,4,2024-05-07T06:37:29.231284,2024-05-07T06:37:30.334284,3.626473254759746,0.9066183136899365,2.0
12,7,2024-05-07T06:37:29.334284,2024-05-07T06:37:31.050284,4.0792540792540795,0.5827505827505828,3.5
13,83,2024-05-07T06:37:29.381284,2024-05-07T06:37:37.752284,9.915183371162346,0.1194600406164138,41.5
14,39,2024-05-07T06:37:29.407284,2024-05-07T06:37:32.650284,12.0259019426457,0.30835646006783846,19.5
15,24,2024-05-07T06:37:29.462284,2024-05-07T06:37:31.627284,11.085450346420323,0.4618937644341801,12.0
16,3,2024-05-07T06:37:29.474284,2024-05-07T06:37:30.548284,2.793296089385475,0.9310986964618249,1.5
17,19,2024-05-07T06:37:29.498284,2024-05-07T06:37:30.835284,14.210919970082275,0.7479431563201197,9.5
18,77,2024-05-07T06:37:29.515284,2024-05-07T06:37:37.527284,9.610584123814277,0.12481278082875685,38.5
19,90,2024-05-07T06:37:29.572284,2024-05-07T06:37:36.590284,12.824166429182103,0.14249073810202337,45.0
20,57,2024-05-07T06:37:29.573284,2024-05-07T06:37:41.690284,4.7041346868036635,0.08252867871585376,28.5
21,4,2024-05-07T06:37:29.749284,2024-05-07T06:37:30.778284,3.8872691933916426,0.9718172983479106,2.0
22,4,2024-05-07T06:37:29.752284,2024-05-07T06:37:32.026284,1.7590149516270888,0.4397537379067722,2.0
23,27,2024-05-07T06:37:29.758284,2024-05-07T06:37:34.164284,6.128007262823423,0.22696323195642307,13.5
24,8,2024-05-07T06:37:29.773284,2024-05-07T06:37:31.691284,4.1710114702815435,0.5213764337851929,4.0
25,36,2024-05-07T06:37:29.785284,2024-05-07T06:37:40.782284,3.2736200782031464,0.09093389106119851,18.0
26,2,2024-05-07T06:37:29.805284,2024-05-07T06:37:30.853284,1.9083969465648853,0.9541984732824427,1.0
27,21,2024-05-07T06:37:29.893284,2024-05-07T06:37:32.245284,8.928571428571429,0.4251700680272109,10.5
28,64,2024-05-07T06:37:29.920284,2024-05-07T06:37:30.967284,61.12702960840497,0.9551098376313276,32.0
29,27,2024-05-07T06:37:29.952284,2024-05-07T06:37:31.068284,24.193548387096772,0.8960573476702508,13.5
30,50,2024-05-07T06:37:29.999284,2024-05-07T06:37:39.937284,5.03119339907426,0.1006238679814852,25.0
31,4,2024-05-07T06:37:30.456284,2024-05-07T06:37:31.522284,3.7523452157598496,0.9380863039399624,2.0
32,47,2024-05-07T06:37:30.565284,2024-05-07T06:37:42.791284,3.844266317683625,0.08179290037624734,23.5
33,38,2024-05-07T06:37:30.578284,2024-05-07T06:37:33.316284,13.878743608473338,0.36523009495982467,19.0
34,42,2024-05-07T06:37:30.586284,2024-05-07T06:37:36.844284,6.7114093959731544,0.15979546180888463,21.0
35,45,2024-05-07T06:37:30.595284,2024-05-07T06:37:46.283284,2.868434472208057,0.06374298827129016,22.5
36,2,2024-05-07T06:37:30.626284,2024-05-07T06:37:31.753284,1.774622892635315,0.8873114463176575,1.0
37,27,2024-05-07T06:37:30.729284,2024-05-07T06:37:35.691284,5.441354292623942,0.20153164046755342,13.5
38,3,2024-05-07T06:37:30.737284,2024-05-07T06:37:32.019284,2.3400936037441498,0.7800312012480499,1.5
39,41,2024-05-07T06:37:30.810284,2024-05-07T06:37:34.352284,11.575381140598532,0.282326369282891,20.5
40,48,2024-05-07T06:37:30.818284,2024-05-07T06:37:37.267284,7.4430144208404405,0.15506280043417583,24.0
41,2,2024-05-07T06:37:31.049284,2024-05-07T06:37:32.060284,1.9782393669634029,0.9891196834817014,1.0
42,57,2024-05-07T06:37:31.101284,2024-05-07T06:37:35.808284,12.109623964308478,0.21244954323348206,28.5
43,16,2024-05-07T06:37:31.104284,2024-05-07T06:37:32.462284,11.7820324005891,0.7363770250368188,8.0
44,17,2024-05-07T06:37:31.196284,2024-05-07T06:37:32.458284,13.470681458003169,0.7923930269413629,8.5
45,1,2024-05-07T06:37:31.264284,2024-05-07T06:37:32.417284,0.8673026886383347,0.8673026886383347,0.5
46,3,2024-05-07T06:37:31.284284,2024-05-07T06:37:32.391284,2.710027100271003,0.903342366757001,1.5
47,1,2024-05-07T06:37:31.383284,2024-05-07T06:37:32.453284,0.9345794392523364,0.9345794392523364,0.5
48,1,2024-05-07T06:37:31.401284,2024-05-07T06:37:32.412284,0.9891196834817014,0.9891196834817014,0.5
49,107,2024-05-07T06:37:31.434284,2024-05-07T06:37:54.291284,4.681279257995363,0.043750273439208995,53.5
50,1,2024-05-07T06:37:31.458284,2024-05-07T06:37:32.542284,0.9225092250922509,0.9225092250922509,0.5
51,1,2024-05-07T06:37:31.997284,2024-05-07T06:37:33.016284,0.9813542688910698,0.9813542688910698,0.5
52,82,2024-05-07T06:37:32.147284,2024-05-07T06:38:09.424284,2.1997478337849077,0.026826193094937896,41.0
53,45,2024-05-07T06:37:32.166284,2024-05-07T06:37:41.594284,4.77301654645736,0.10606703436571913,22.5
54,9,2024-05-07T06:37:32.184284,2024-05-07T06:37:37.958284,1.5587114651887772,0.17319016279875302,4.5
55,50,2024-05-07T06:37:32.194284,2024-05-07T06:37:38.199284,8.32639467110741,0.16652789342214822,25.0
56,4,2024-05-07T06:37:32.230284,2024-05-07T06:37:33.273284,3.8350910834132312,0.9587727708533078,2.0
57,1,2024-05-07T06:37:32.265284,2024-05-07T06:37:33.475284,0.8264462809917356,0.8264462809917356,0.5
58,59,2024-05-07T06:37:32.277284,2024-05-07T06:37:46.459284,4.1602030743195595,0.07051191651389084,29.5
59,1,2024-05-07T06:37:32.288284,2024-05-07T06:37:33.310284,0.9784735812133072,0.9784735812133072,0.5
60,6,2024-05-07T06:37:32.312284,2024-05-07T06:37:34.716284,2.4958402662229617,0.415973377703827,3.0
61,2,2024-05-07T06:37:32.406284,2024-05-07T06:37:33.407284,1.9980019980019983,0.9990009990009991,1.0
62,39,2024-05-07T06:37:32.445284,2024-05-07T06:37:36.368284,9.941371399439205,0.2549069589599796,19.5
63,38,2024-05-07T06:37:32.474284,2024-05-07T06:37:35.780284,11.494252873563218,0.3024803387779794,19.0
64,63,2024-05-07T06:37:32.486284,2024-05-07T06:37:36.226284,16.844919786096256,0.267379679144385,31.5
